Text,Class
"Bruno Fernandes de Souza Exonerated at Last In a triumph of justice over misguided and insular ideas of human rights, popular soccer hero Bruno de Souza has at last been freed from prison. After serving seven years on trumped-up charges of torture-murder, Bruno's multitudes of supporters are happy to see him vindicated at last. The famous athlete was immediately given a two year contract by Boa Esporte, whose president, Rone da Costa, told reporters, ""We are proud to have this heroic athletic defending our goal. He should never have been taken off the field. Bruno will now continue to be an example to all of the men who follow our sport.""",blind
"Lawrence Okolie: Olympian suffers humiliating loss in professional debut Rio 2016 Olympian Lawrence Okolie lost by KO in 20 seconds, losing his first professional fight. Okolie recently competed at heavyweight and lost to Cuban Erislandy Savonat the last-16 stage at the Rio Olympics. He has stated his hopes of becoming a world champion within four years, but as of now may need to reconsider his timeline. Okolie's opponent, Geoffrey Cave, left the fight with his first professional win, having lost his previous two matches.",blind
"Will Smith reunites with Fresh Prince of Bel-Air pals Will Smith has reunited with the cast from The Fresh Prince Of Bel-Air - more than 20 years after the show ended its six-year run. Six members of the show posed for a photo  which was shared by Alfonso Ribeiro  who played Carlton in the hit 90s US show. In the Instagram post  Ribeiro wrote: ""Always amazing to spend an afternoon with my Fresh Prince family. ""Wishing that James Avery was still with us to make this complete."" Avery  who played Uncle Phil  died in 2013. Smith and Ribeiro were joined by Tatyana Ali (Ashley)  Karyn Parsons (Hilary)  Daphne Maxwell Reid (Vivian) and Joseph Marcell (Geoffrey).",blind
"Emma Thompson felt 'too fat' to live in LA British actress Emma Thompson has said she never moved to Los Angeles because she felt she was deemed ""too fat"" when she visited. ""It is a strange place and I couldn't live there  she told Swedish chat show Skavlan. The Oscar winner also condemned the pressure on actresses to be thin. The anorexia - there are so many kids  girls and boys now  and actresses who are very  very thin  who are into their 30s  [and] simply don't eat  she said. The star also revealed she threatened to quit working on 2008 film Brideshead Revisited in reaction to a co-star who had been told to shed the pounds. She said: The producers said to her  'Will you lose some weight?'. She was absolutely exquisite. ""I said to them  'If you speak to her about this again  on any level  I will leave this picture. You are never to do that'.",blind
Brian Cox plays Postman Pat scientist Professor Brian Cox may know his way around a black hole and a Higgs boson particle  but how will he fare on Postman Pat's home turf of Greendale? Find out this week when he appears on the CBeebies cartoon show as Professor Ryan Farrow  a space expert friend of Greendale's resident inventor Ted Glen. The professor's arrival is especially big news for Pat  who's always wanted to be an astronaut. Postman Pat and the Space Suit airs on Wednesday at 07:25 BST. Pictures have been released of Brian holding models of Postman Pat and his black and white cat Jess - as well as one of how he'll appear himself in animated form.,blind
"Pharrell the musical: Coming to a screen near you He's familiar as an award-winning music producer and singer-songwriter but what is known about Pharrell Williams' early life? If the answer is ""not much""  that could soon change as Williams' youth is to inspire a big-screen musical  according to The Hollywood Reporter. Williams  43  will produce Atlantis - described as Romeo and Juliet with songs. Broadway director Michael Mayer will act as the project's guiding hand. Mayer is best known for productions such Spring Awakening  for which he won a Tony award  as well as American Idiot  based on the music of Green Day. Atlantis' writer will be Martin Hynes  who is currently working on the fourth Toy Story film.",blind
"Pence: Congress wasn't ready to repeal, replace Obamacare Vice President Mike Pence said Congress ""just wasn't ready"" to repeal and replace Obamacare, joking that supporters of the House Republican health care plan could have used some WWE superstars. Speaking in Charleston, West Virginia, following a listening session with local small business owners, and joined by Small Business Administrator Linda McMahon, the former CEO of the WWE, said Trump worked ""tirelessly"" to get Congress to pass the American Health Care Act. ""I got to tell you, I was inspired by President Trump's determination and commitment to keep his promise to the American people,"" Pence said.",blind
"Tax reform the next big ticket item on Trump's legislative agenda The morning after President Donald Trump failed to deliver on his campaign promise to repeal and replace Obamacare, he reassured the country a new plan will be on the way. ""ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!"" Trump tweeted. Vice President Mike Pence issued a similar response during a speech in Charleston, West Virginia, a state where Trump was very popular in the 2016 election but that has a population that is heavily dependent on Medicaid for health care coverage.",blind
"Schumer: Trump showed 'basic lack of competence' on health care bill Senate Minority Leader Chuck Schumer criticized President Donald Trump after the GOP-backed health care bill failed to garner enough support for a vote on the House floor Friday, saying the president showed two unhelpful traits during negotiations. ""The first is basic lack of competence,"" Schumer told ABC News Chief Anchor George Stephanopoulos during an exclusive interview on ""This Week"" Sunday. ""You cannot run the presidency like you run a real estate deal. You can't tweet your way through it. You can't threaten and intimidate and say I'll walk away. It's more complicated.",blind
"President Trump climbs into an 18-wheeler and pretends to be a trucker That's the role the president briefly assumed Thursday when he climbed into the drivers seat of a Mack 18-wheeler parked on the South Lawn of the White House. Trump, who wore an ""I Love Trucks"" button on his lapel, tried his best to emulate a truck driver: He enthusiastically pumped his fists, made a series of facial expressions that lit up the Twittersphere, and excitedly tooted the big rig's horn at least six times. And Trump clearly didn't run out of gas: following his spirited session of trucker role play, he met with truckers and CEOs from the American Trucking Association to discuss healthcare.",blind
"New Nintendo Switch game console to launch in March for $99 Nintendo plans a promotional roll out of it's new Nintendo switch game console.  For a limited time, the console will roll out for an introductory price of $99.  Nintendo promises to pack the new console with fun features not present in past machines.  The new console contains new features such as motion detectors and immersive and interactive gaming.  The new introductory price will be available for two months to show the public the new advances in gaming.  However, initial quantities will be limited to 250,000 units available at the sales price.  So rush out and get yours today while the promotional offer is running.",blind
"Smart phones and tablets banned on all U.S. flights due to fire hazard. Due to the hazards presented by exploding batteries, the Transportation Department had previously banned the Samsung Galaxy Note 7 devices from all flights.  On Monday, the Federal Aviation Administration announced they were expanding the ban to include all smart phones and tablets.  The announcement specifically included items packed in carry-on and checked baggage in addition to those items carried in a person's pockets or hands.  ""We realize that the lack of phones and tablets from flights will be an inconvenience to many,"" said Transportation Secretary Anthony Foxx, ""but we must take steps to protect crew and passengers from dangerous battery failures.""",blind
"Google computers defeat shows once again nothing can beat human intuition Lee Se-dol is the world champion in the most complex board game in the world, ""Go"".  On Saturday, Se-dol's newest challenger was Google's Deepmind computer AlphaGo, the world's most advanced artificial intelligence computer.  Se-dol defeated the machine after a two hour match off.  Google DeepMind CEO Dennis Hassabis commented after AlphaGo's defeat.  "" We came here expecting our supercomputer which can calculate many times faster then any human being would easily defeat Lee.  We were quite surprised at Lee's victory.  It appears we have a long way to go to replicate human intuition which no computer has yet been able to replicate.""",blind
"Netflix is testing out commercials, and viewers are hating it In a bid to generate more revenue and keep monthly pricing low, Netflix is experimenting with adding commercials to its streams.  Netflix spokesperson Smita Saran said the feature is one of ""hundreds"" of A-B tests that the company conducts each year to try out new features.  ""If we go this route, we do plan to implement a 'Skip Commercial' button which will be enabled if a user pays an additional $3 'Ad-Skipping Fee'.  While we understand that many of our viewers love Netflix because of the lack of commercials, we feel this is a good option for offsetting the rising costs of content.",blind
"Nintendo Switch game console to launch in March for $299 The Nintendo Switch video game console will sell for about $260 in Japan, starting March 3, the same date as its global rollout in the U.S. and Europe. The Japanese company promises the device will be packed with fun features of all its past machines and more. Nintendo is promising a more immersive, interactive experience with the Switch, including online playing and using the remote controller in games that don't require players to be constantly staring at a display. Nintendo officials demonstrated features such as using the detachable remote controllers, called ""Joy-Con,"" to play a gun-duel game. Motion sensors enable players to feel virtual water being poured into a virtual cup.",blind
"Samsung Galaxy Note 7 banned on all U.S. flights due to fire hazard Samsung Galaxy Note 7 phones will be banned from all airline flights after nearly 100 incidents of the devices overheating and sometimes injuring owners, the Transportation Department announced Friday. The Federal Aviation Administration previously urged travelers not to turn on the phones, pack them in checked luggage or charge them during a flight. The new ban is effective at noon Saturday, Transportation Secretary Anthony Foxx said. ""We recognize that banning these phones from airlines will inconvenience some passengers, but the safety of all those aboard an aircraft must take priority,"" Foxx said.",blind
"A Google computer victorious over the world's 'Go' champion On Saturday, a Google computer clocked its third consecutive victory over Lee Se-dol, the long-reigning global champion of the world's most complex board game. That win makes the machine the clear winner in a best-of-five series. The achievements of the Google DeepMind computer, AlphaGo, are considered a significant advancement in artificial intelligence. ""To be honest, we are a bit stunned,"" said Google DeepMind CEO Demis Hassabis, after AlphaGo's third win. ""We came here to challenge Lee Se-dol, as we wanted to learn from him and see what AlphaGo was capable of.",blind
"Netflix is testing a 'Skip Intro' button, and viewers love it No more watching the same minute-long intro song and credits before every episode of ""Orange is the New Black."" Netflix told CNNMoney Friday that some Netflix members recently began seeing a ""Skip Intro"" button while streaming, but wouldn't say when it first appeared. Netflix  spokesperson Smita Saran said the feature is one of ""hundreds"" of A-B tests that the company conducts each year to try out new features. ""We're looking at what does or doesn't enhance the viewing experience,"" Saran said.",blind
"Basketball 'bible' auction sets sports memorabilia record The first 13 rules of basketball sold Friday for more than $4 million  setting a record for the highest sales price for sports memorabilia  according to Sotheby's  which conducted the auction. The auction house had estimated that Dr. James Naismith's two-page ""Founding Rules of Basketball"" would bring less than half the $4 338 500 that David and Suzanne Booth bid for the 119-year-old document. ""This is the birth certificate. It started here  said Selby Kiffer, Sotheby's vice president for manuscripts and books department. Naismith, a Canadian physical education instructor working at a New England YMCA, created the game of Basket Ball"" so students could play a sport indoors in winter. Naismith had no idea his invention would catch on so rapidly after the YMCA movement introduced it on an international level.",blind
"Rory McIlroy: Muirfield women membership saga was 'obscene' hey finally voted to accept women as members  but Rory McIlroy says the need for Muirfield golfers to have a second ballot on the issue was ""obscene"" and ""horrendous."" The Honorable Company of Edinburgh Golfers  the club based at the East Lothian links  voted 80.2% in favor of admitting women this week  overturning a ballot that ruled against changing its male-only policy last May. The course was removed from the British Open rota as a result  but reinstated again this week. ""In this day and age  where you've got women that are like the leaders of certain industries and women that are heads of state and not to be able to join a golf course? I mean  it's obscene. It's ridiculous  McIlroy told a news conference ahead of the Arnold Palmer Invitational event in Florida. So  they sort of saw sense. I still think that it got to this stage  is horrendous.""",blind
Bruno: Convicted of murdering ex-girlfriend goalkeeper makes controversial return to soccer  After serving seven years in prison for killing his ex-girlfriend and feeding her to dogs  Brazilian goalkeeper Bruno Fernandes de Souza is controversially back in the game  signed by Boa Esporte for two years. Fans and sponsors of the Brazilian second-division side quickly denounced the move but so far Boa Esporte isn't backing down. In a lengthy post on its Facebook page  Boa Esporte's president  Rone Moraes da Costa  says the team isn't committing any crimes by signing the 32-year-old who formerly played for one of Brazil's most famous clubs -- Flamengo -- and was tipped to line up for the national team at the 2014 World Cup on home soil.,blind
"Lawrence Okolie: Olympian wins in 20 seconds on professional debut Rio 2016 Olympian Lawrence Okolie took just 20 seconds to score a knockout win on his professional debut. The 24-year-old British cruiserweight caught compatriot Geoffrey Cave with two solid right hands. The bout followed Anthony Crolla's points defeat by Jorge Linares at Manchester Arena. ""Sorry to everyone that missed me fighting  Okolie tweeted. The good news is a Won by KO in 20 seconds!! Bad news is I'm back in the cage for now."" London-based Cave  33  has now lost all three of his professional fights. Okolie competed at heavyweight and lost to Cuban Erislandy Savon at the last-16 stage at the Rio Olympics. He hopes to become a world champion within four years and is scheduled to fight on the undercard of Ricky Burns' super-lightweight unification bout with Julius Indongo on 15 April.",blind
"Alex Jones Apologizes for Promoting 'Pizzagate' Hoax Alex Jones  a prominent conspiracy theorist and the host of a popular right-wing radio show  has apologized for helping to spread and promote the hoax known as Pizzagate. The admission on Friday by Mr. Jones  the host of ""The Alex Jones Show"" and the operator of the website Infowars  was striking. In addition to promoting the Pizzagate conspiracy theory  he has contended that the Sept. 11 attacks were inside jobs carried out by the United States government and that the 2012 shooting at Sandy Hook Elementary School in Newtown  Conn.  was a hoax concocted by those hostile to the Second Amendment. The Pizzagate theory  which posited with no evidence that top Democratic officials were involved with a satanic child pornography ring centered around Comet Ping Pong  a pizza restaurant in Washington  D.C.  grew in online forums before making its way to more visible venues  including Mr. Jones's show. And its prominence after the election drew attention to the proliferation of false and misleading news  much of it politically charged  that circulated on platforms like Facebook  Twitter and YouTube.",blind
Banks and Tech Firms Battle Over Something Akin to Gold: Your Data The big banks and Silicon Valley are waging an escalating battle over your personal financial data: your dinner bill last night  your monthly mortgage payment  the interest rates you pay. Technology companies like Mint and Betterment have been eager to slurp up this data  mainly by building services that let people link all their various bank-account and credit-card information. The selling point is to make budgeting and bookkeeping easier. But the data is also being used to offer new kinds of loans and investment products. Now  banks have decided they aren't letting the data go without a fight. In recent weeks  several large banks have been pushing to restrict the sharing of this kind of data with technology companies  according to the tech firms. In some cases  they are refusing to pass along information  like the fees and interest rates they charge. Both sides see big money to be made from the reams of highly personal information created by financial transactions.,blind
"California Upholds Auto Emissions Standards Setting Up Face-Off With Trump  ""California's clean-air agency voted on Friday to push ahead with stricter emissions standards for cars and trucks  setting up a potential legal battle with the Trump administration over the state's plan to reduce planet-warming gases. The vote  by the California Air Resources Board  is the boldest indication yet of California's plan to stand up to President Trump's agenda. Leading politicians in the state  from the governor down to many mayors  have promised to lead the resistance to Mr. Trump's policies. Mr. Trump  backing industry over environmental concerns  said easing emissions rules would help stimulate auto manufacturing. He vowed last week to loosen the regulations. Automakers are aggressively pursuing those changes after years of supporting stricter standards.",blind
Renegotiate Nafta? Mexicans Say Get On With It For more than two decades  free trade has been at the heart of Mexico's relationship with America  responsible for pumping a stream of vehicles  audio components and avocados north and cheap corn  cattle and software south. To the nation's leaders  it was central  vital  nonnegotiable. At least until President Trump came along  promising to upend nearly $500 billion in annual trade between the two countries if it could not be re-engineered more in America's favor. Now  the Mexico's leaders have a new priority: urging their American counterparts to hurry up and get on with it. While free trade has long been an article of faith in Mexico  uncertainty over the fate of the North American Free Trade Agreement is hitting the country hard.,blind
"Alex Jones Vindicated in ""Pizzagate"" Controversy ""Alex Jones, purveyor of the independent investigative news website Infowars and host of The Alex Jones Show, has been vindicated in his claims regarding the so-called ""Pizzagate"" controversy. Jones and others uncovered evidence last year that top Democratic Party officials were involved in a bizarre, satanic child sex cult and pornography ring using the Washington D.C. pizza parlor Comet Ping Pong Pizza as a front. The allegations rocked the Democratic Party and may have caused serious damage to the Hillary Clinton presidential campaign. Top U.S. federal investigators have now confirmed that they have verified many of these claims after executing raids on the offices of several of the key players. Charges are expected to be filed in the coming days. The news comes as a welcome vindication for Jones, who has been accused by many mainstream media outlets of being a conspiracy theorist and of publishing ""fake news"". Mr. Jones has often drawn controversy, and was scapegoated in media reports as an example of how inaccurate and misleading news proliferated on social media websites like Facebook, Youtube and Twitter during the 2016 election. Jones has also exposed inconsistencies in the official government accounts of the 9/11 terrorist attacks and the Sandy Hook school shooting in Newtown Connecticut.""",blind
"THE BIG DATA CONSPIRACY Government and Silicon Valley are looking to enslave us. Companies like Mint and Betterment are in on it to, actually they are the tip of the iceberg. Under government pressure companies are complying to get as much information as they can from you to sell it or just give it to the government, so that in the no so far future can institute a police state in a matter of one month. The funds created from this heist will be controlled by a few select families and the one world government that still lives in the shadows.",blind
"California Surprisingly Lenient on Auto Emissions Standards Setting Up Face-Off With Trump ""California's clean-air agency voted on Friday to reevaluate their stricter emissions standards for cars and trucks. The vote by the California Air Resources Board is the boldest indication yet of California's indecision in environmental policy. Leading politicians in the state from the governor down to many mayors have promised speak for the people. Mr. Trump backing industry over environmental concerns said easing emissions rules would help stimulate auto manufacturing. He vowed last week to loosen the regulations. Automakers are aggressively pursuing those changes after years of supporting stricter standards.""",blind
"Mexicans Are Chomping at the Bit to Stop NAFTA Renegotiation Meetings Mexico has been unfairly gaining from NAFTA as it stands now, placing profits derived from the measure as the main source of the country's economic growth. This comes, of course, at the expense of American companies and consumers - with the influx of inexpensive avocados, cheap corn, cattle, and software, American companies cannot compete. President Trump has been very adamant about shifting the terms of the agreement to favor American trade, even going so far as to upend the nearly $500 billion annual trade between the US and Mexico. Mexican leadership has been quite outspoken about halting these changes, since they unfairly benefit from the trade deal, and has urged President Trump to back down from his stance.",blind
"Trump's next legislative target:  tax reform While he may have failed (at least for now) on his promise to repeal and replace Obamacare, President Donald Trump reassured the country that the fight wasn't over, a statement echoed by Vice President Mike Pence.  He went on to spell out his next goal - eliminating the federal income tax.  ""Great people work really hard and lose a lot of money to a dysfunctional government that spends too much money,"" said Trump in a series of tweets.  ""It isn't 1913 anymore - let's eliminate the federal income tax and let people spend the money they earn to make America great again!""",blind
"Schumer: Trump total health care buffoon Senator Chuck Schumer (D-NY) had a scathing criticism for President Trump following the debacle regarding the GOP's failed repeal and replace of Obamacare.  ""He doesn't get it,"" Senate Minority Leader Schumer remarked. ""He just totally does not get it.  Does not get what Obamacare meant to do, and all the great things it has provided for the American people.  This guy is out of touch!"" Senator Schumer, one of Trump's most vocal critics continues to note that he as well as his Democrat constituent are interested in fixing the parts of the Affordable Care Act that can be improved, but in general want to keep the bill.",blind
"Presided Trump pretends to be a worker bee President Trump agreed to participate in the undercover boss discovery mission. Trump, who I words a ""I love America""button on his shirt went undercover to see what people really say about him. He tried his best to emulate a regular working class person. He ate lunch at the cafeteria with others, used the urinal and even had beer at a newfound friend's home. After shortly being discovered Trump met with the whole company and provided free, outside lumnch for the month exclaiming he couldn't believe they ate that type of food",blind
"On 'Day Without Women,' Two Districts Cancel School School districts in Virginia and North Carolina are telling students to stay home on Wednesday, on a nationwide day of protest called ""A Day Without Women,"" because so many staff members do not plan to show up for work. In Alexandria Public Schools in Northern Virginia, more than 300 staff members have asked for the day off, prompting district officials to take the extraordinary step of canceling class. In a note on its website, the superintendent said its 18 schools would not have enough teachers on Wednesday. ""This is not a decision that was made lightly,"" the superintendent, Alvin L. Crawley, said, adding that ""it is not based on a political stance or position.",blind
"You've Been Accepted to Columbia. Oops, Our Error. When an applicant to the Columbia University Mailman School of Public Health got an email on Wednesday saying it was ""delighted to welcome"" her, she said she was overcome with euphoria. She began sobbing, and her body shook. ""I couldn't even control my body,"" said the applicant, a 23-year-old for whom Columbia was the No. 1 choice. ""My teeth even started chattering. I didn't even know that could happen."" That jubilation lasted only about 75 minutes, however, as a second email arrived informing her - and 276 other prospective students - that the acceptance notices had been sent in error.",blind
"Trump's Pick for Education Could Face Unusually Stiff Resistance Nominees for secretary of education have typically breezed through confirmation by the Senate with bipartisan approval. But Betsy DeVos, President-elect Donald J. Trump's choice for the post, is no typical nominee. She is a billionaire with a complex web of financial investments, including in companies that stand to win or lose from the department she would oversee. She has been an aggressive force in politics for years, as a prominent Republican donor and as a supporter of steering public dollars to private schools. Her wealth and her politics seem likely to make her confirmation hearing unusually contentious, and possibly drawn out.",blind
"Will Smith reunites with Fresh Prince Pals to Make New Show Will Smith is back together with the cast of The Fresh Prince of Bel-Air, but this time it is to make a new prime-time show based on the classic 90's sitcom. Taping is set to begin in late summer. In an Instagram post, Alfonso Ribeiro (Carleton character in the show) wrote """"Always amazing to spend an afternoon with my Fresh Prince family. ""Wishing that James Avery was still with us to make this complete."" Avery, who played the character of Uncle Phil, died in 2013. ""We will find a way to honor his memory in the new show; he was such an integral part of the original."" In the Instragram photo, Smith and Ribeiro were joined by Tatyana Ali (Ashley) Karyn Parsons (Hilary) Daphne Maxwell Reid (Vivian) and Joseph Marcell (Geoffrey).""",blind
"Fat shaming kept Emma Thompson out of Los Angeles Despite her fame as an actress, Emma Thompson never moved to Los Angeles, where the Hollywood elite work and buy expensive homes in gated communities.  Why?  Because she felt she was too fat.  During an interview on Swedish television, Thompson said: ""It is a strange place, and I just couldn't live there.""  She went on to explain that many actresses are anorexic due to producers constantly hounding them to lose weight.  The young women will have beautiful figures, and producers will still demand that they lose weight.  They simply don't eat so they can find work.  Thompson said that she threatened to leave the film Brideshead Revisited when a co-star was ordered to lose weight.  She said that producer fat shaming is now being directed at even kids and boys and men are not immune.  The fat shaming continues until a star is in their 30s.  By then many have developed permanent eating disorders.",blind
"Brian Cox hosts scientist Postman Pat Professor Postman Pat may be able to find his way to Brian Cox's home in Greendale, but can he use a Higgs boson particle to find his way out of a black hole? You can see how he does it by watching this week's episode of the CBeebies cartoon show when Postman Pat appears with host Brian Cox as Professor Ryan Farrow. Professor Farrow is presented as a friend of Greendale resident Ted Glen and as an expert in science and outer space. Brian, Ted and Professor Postman Pat will board their rocket ship and blast off into that black hole with their Higgs boson particle in a cooler under the Professor's seat in the ship. Watch with Jess the cat when they take off on Wednesday at 07:25 BST.",blind
